uf,mes,ano,vitimas
GO,12,2016,2
MA,12,2016,9
MG,12,2016,12
MS,12,2016,1
PA,12,2016,2
PB,12,2016,2
PI,12,2016,2
RJ,12,2016,4
RN,12,2016,3
RS,12,2016,9
SC,12,2016,7
SP,12,2016,3
AC,1,2017,1
AL,1,2017,1
AM,1,2017,1
BA,1,2017,5
DF,1,2017,2
ES,1,2017,4
GO,1,2017,2
MA,1,2017,6
MG,1,2017,11
MS,1,2017,1
PA,1,2017,1
PB,1,2017,1
PI,1,2017,2
RJ,1,2017,7
RN,1,2017,2
RR,1,2017,3
RS,1,2017,9
SC,1,2017,4
SP,1,2017,17
AC,2,2017,1
AL,2,2017,4
AM,2,2017,2
BA,2,2017,1
DF,2,2017,1
ES,2,2017,4
MA,2,2017,6
MG,2,2017,16
MS,2,2017,1
PA,2,2017,2
PB,2,2017,2
PI,2,2017,1
PR,2,2017,3
RJ,2,2017,7
RN,2,2017,2
RS,2,2017,8
SC,2,2017,5
SE,2,2017,1
SP,2,2017,12
AC,3,2017,1
AL,3,2017,6
AM,3,2017,1
BA,3,2017,4
DF,3,2017,2
ES,3,2017,4
GO,3,2017,1
MA,3,2017,2
MG,3,2017,9
MS,3,2017,1
PA,3,2017,5
PB,3,2017,3
PI,3,2017,1
PR,3,2017,4
RJ,3,2017,6
RN,3,2017,1
RS,3,2017,6
SC,3,2017,4
SE,3,2017,2
SP,3,2017,9
AC,4,2017,1
AL,4,2017,3
AM,4,2017,1
BA,4,2017,7
DF,4,2017,1
ES,4,2017,5
GO,4,2017,2
MA,4,2017,2
MG,4,2017,10
MS,4,2017,2
PA,4,2017,3
PB,4,2017,6
PI,4,2017,2
PR,4,2017,5
RJ,4,2017,7
RN,4,2017,2
RS,4,2017,6
SC,4,2017,2
SE,4,2017,4
SP,4,2017,6
AL,5,2017,1
AM,5,2017,2
BA,5,2017,5
DF,5,2017,1
ES,5,2017,1
MA,5,2017,6
MG,5,2017,8
MS,5,2017,1
PA,5,2017,5
PB,5,2017,1
PI,5,2017,4
PR,5,2017,1
RJ,5,2017,3
RN,5,2017,5
RS,5,2017,3
SC,5,2017,4
SE,5,2017,1
SP,5,2017,7
AL,6,2017,2
AM,6,2017,3
BA,6,2017,6
ES,6,2017,2
GO,6,2017,4
MA,6,2017,4
MG,6,2017,12
MS,6,2017,3
PA,6,2017,1
PB,6,2017,2
PI,6,2017,5
PR,6,2017,1
RJ,6,2017,7
RN,6,2017,4
RS,6,2017,9
SC,6,2017,4
SE,6,2017,1
SP,6,2017,7
AC,7,2017,3
AL,7,2017,2
AM,7,2017,3
AP,7,2017,1
BA,7,2017,9
DF,7,2017,1
ES,7,2017,3
GO,7,2017,2
MA,7,2017,4
MG,7,2017,9
MS,7,2017,1
PA,7,2017,5
PB,7,2017,6
PI,7,2017,1
PR,7,2017,4
RJ,7,2017,4
RN,7,2017,3
RS,7,2017,4
SC,7,2017,5
SE,7,2017,2
SP,7,2017,5
AC,8,2017,2
AL,8,2017,2
BA,8,2017,5
DF,8,2017,2
ES,8,2017,7
GO,8,2017,2
MA,8,2017,1
MG,8,2017,14
MS,8,2017,2
PA,8,2017,5
PB,8,2017,2
PI,8,2017,2
RJ,8,2017,5
RN,8,2017,4
RS,8,2017,8
SC,8,2017,3
SP,8,2017,12
AC,9,2017,1
AL,9,2017,5
AM,9,2017,1
AP,9,2017,1
BA,9,2017,7
DF,9,2017,1
ES,9,2017,3
GO,9,2017,3
MA,9,2017,5
MG,9,2017,15
PA,9,2017,5
PB,9,2017,1
PI,9,2017,2
PR,9,2017,2
RJ,9,2017,6
RN,9,2017,2
RS,9,2017,14
SC,9,2017,5
SE,9,2017,2
SP,9,2017,8
AL,10,2017,3
AM,10,2017,2
AP,10,2017,1
BA,10,2017,7
DF,10,2017,3
ES,10,2017,4
GO,10,2017,3
MA,10,2017,4
MG,10,2017,17
MS,10,2017,1
PA,10,2017,1
PB,10,2017,1
PE,10,2017,2
PI,10,2017,1
PR,10,2017,5
RJ,10,2017,4
RN,10,2017,5
RS,10,2017,3
SC,10,2017,9
SE,10,2017,2
SP,10,2017,15
AC,11,2017,1
AL,11,2017,5
AM,11,2017,1
BA,11,2017,10
DF,11,2017,2
GO,11,2017,2
MA,11,2017,6
MG,11,2017,15
PA,11,2017,8
PE,11,2017,4
PI,11,2017,4
PR,11,2017,4
RJ,11,2017,6
RN,11,2017,2
RS,11,2017,7
SC,11,2017,2
SE,11,2017,3
SP,11,2017,8
AC,12,2017,2
AP,12,2017,1
BA,12,2017,8
ES,12,2017,5
GO,12,2017,1
MA,12,2017,6
MG,12,2017,8
PA,12,2017,8
PE,12,2017,7
PI,12,2017,2
PR,12,2017,4
RJ,12,2017,6
RN,12,2017,2
RS,12,2017,6
SC,12,2017,6
SE,12,2017,2
SP,12,2017,15
AC,1,2018,3
AL,1,2018,3
BA,1,2018,4
CE,1,2018,4
DF,1,2018,3
ES,1,2018,4
GO,1,2018,1
MA,1,2018,4
MG,1,2018,9
MS,1,2018,1
PA,1,2018,7
PB,1,2018,7
PE,1,2018,8
PI,1,2018,4
PR,1,2018,4
RJ,1,2018,6
RN,1,2018,3
RS,1,2018,7
SC,1,2018,4
SE,1,2018,3
SP,1,2018,5
AC,2,2018,1
BA,2,2018,6
CE,2,2018,2
DF,2,2018,2
ES,2,2018,1
GO,2,2018,4
MA,2,2018,5
MG,2,2018,10
MS,2,2018,2
PA,2,2018,6
PB,2,2018,7
PE,2,2018,3
PR,2,2018,3
RJ,2,2018,7
RN,2,2018,1
RS,2,2018,3
SC,2,2018,1
SE,2,2018,3
SP,2,2018,8
AL,3,2018,1
AP,3,2018,1
BA,3,2018,4
CE,3,2018,3
DF,3,2018,4
ES,3,2018,4
GO,3,2018,2
MA,3,2018,3
MG,3,2018,13
MS,3,2018,1
PA,3,2018,4
PB,3,2018,1
PE,3,2018,7
PI,3,2018,2
PR,3,2018,7
RJ,3,2018,6
RN,3,2018,5
RS,3,2018,8
SC,3,2018,3
SE,3,2018,1
SP,3,2018,8
TO,3,2018,1
AC,4,2018,2
AL,4,2018,2
BA,4,2018,9
DF,4,2018,2
ES,4,2018,2
GO,4,2018,1
MA,4,2018,4
MG,4,2018,11
MS,4,2018,4
PA,4,2018,3
PB,4,2018,2
PE,4,2018,2
PI,4,2018,3
PR,4,2018,6
RJ,4,2018,5
RS,4,2018,11
SC,4,2018,2
SE,4,2018,4
SP,4,2018,14
BA,5,2018,7
CE,5,2018,1
DF,5,2018,2
ES,5,2018,1
GO,5,2018,4
MA,5,2018,4
MG,5,2018,13
MS,5,2018,3
PA,5,2018,4
PB,5,2018,2
PE,5,2018,6
PI,5,2018,3
PR,5,2018,8
RJ,5,2018,7
RN,5,2018,2
RS,5,2018,10
SC,5,2018,3
SP,5,2018,16
AC,6,2018,2
AL,6,2018,1
BA,6,2018,11
CE,6,2018,3
DF,6,2018,1
ES,6,2018,3
GO,6,2018,3
MA,6,2018,5
MG,6,2018,6
MS,6,2018,2
PA,6,2018,4
PB,6,2018,3
PE,6,2018,9
PI,6,2018,7
PR,6,2018,3
RJ,6,2018,4
RN,6,2018,2
RS,6,2018,16
SC,6,2018,2
SP,6,2018,6
AC,7,2018,1
AL,7,2018,1
AM,7,2018,1
BA,7,2018,8
CE,7,2018,1
DF,7,2018,1
ES,7,2018,5
GO,7,2018,1
MA,7,2018,1
MG,7,2018,12
MS,7,2018,3
PA,7,2018,6
PB,7,2018,3
PE,7,2018,7
PI,7,2018,1
PR,7,2018,7
RJ,7,2018,8
RN,7,2018,2
RS,7,2018,8
SC,7,2018,2
SE,7,2018,1
SP,7,2018,16
AC,8,2018,1
AL,8,2018,5
AP,8,2018,1
BA,8,2018,3
CE,8,2018,4
DF,8,2018,4
ES,8,2018,1
GO,8,2018,3
MA,8,2018,2
MG,8,2018,14
MS,8,2018,1
PA,8,2018,8
PB,8,2018,2
PE,8,2018,6
PR,8,2018,3
RJ,8,2018,5
RN,8,2018,1
